2023-06-26 23:34:46,767  INFO      client_log_config test write log
2023-06-26 23:34:46,767  CRITICAL  client_log_config critical write log
2023-06-26 23:42:38,614  CRITICAL  client     В качестве порта может быть указано только число в диапазоне от 1024 до 65535
2023-06-26 23:48:43,926  INFO      client     Адрес и порт получены из командной строки
2023-06-26 23:48:43,926  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 8079
2023-06-26 23:51:04,942  INFO      client     Адрес и порт получены из командной строки
2023-06-26 23:51:04,942  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 8079
2023-06-26 23:51:06,965  CRITICAL  client     somethong went wrong: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение
2023-06-26 23:54:33,801  INFO      client     Адрес и порт получены из командной строки
2023-06-26 23:54:33,801  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 8079
2023-06-26 23:54:33,802  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687812873.80226, 'user': {'account_name': 'Guest'}}
2023-06-26 23:54:33,802  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:28:38,867  INFO      client     Адрес и порт получены из командной строки
2023-06-27 00:28:38,868  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 8079
2023-06-27 00:28:38,869  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687814918.869567, 'user': {'account_name': 'Guest'}}
2023-06-27 00:28:38,869  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:31:25,524  INFO      client     Адрес и порт получены из командной строки
2023-06-27 00:31:25,524  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 8079
2023-06-27 00:31:25,525  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687815085.5252984, 'user': {'account_name': 'Guest'}}
2023-06-27 00:31:25,526  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:33:39,441  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:33:39,441  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:33:39,448  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:33:39,448  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:33:39,449  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687815219.4499063, 'user': {'account_name': 'Guest'}}
2023-06-27 00:33:39,450  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:33:39,455  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:33:39,455  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:33:39,456  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687815219.456908, 'user': {'account_name': 'Guest'}}
2023-06-27 00:33:39,456  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:33:39,466  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:33:39,466  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:33:39,467  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687815219.4679046, 'user': {'account_name': 'Guest'}}
2023-06-27 00:33:39,468  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:33:39,479  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:33:39,479  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:33:39,480  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687815219.4809005, 'user': {'account_name': 'Guest'}}
2023-06-27 00:33:39,480  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:33:39,953  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687815219.953832, 'user': {'account_name': 'Guest'}}
2023-06-27 00:33:39,953  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:56:43,420  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:56:43,420  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:56:43,439  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:56:43,439  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:56:43,458  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:56:43,458  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:56:43,459  INFO      client     Адрес и порт не указаны, используются значения по умолчанию
2023-06-27 00:56:43,459  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:56:43,459  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687816603.4595628, 'user': {'account_name': 'Guest'}}
2023-06-27 00:56:43,459  INFO      client     Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7777
2023-06-27 00:56:43,460  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687816603.4605637, 'user': {'account_name': 'Guest'}}
2023-06-27 00:56:43,460  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687816603.4605637, 'user': {'account_name': 'Guest'}}
2023-06-27 00:56:43,460  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:56:43,460  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:56:43,461  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:56:43,951  INFO      client     Создано сообщение для сервера: {'action': 'presence', 'time': 1687816603.9510965, 'user': {'account_name': 'Guest'}}
2023-06-27 00:56:43,951  INFO      client     Получен ответ от сервера: 200 : OK
2023-06-27 00:56:43,952  INFO      client     Получен ответ от сервера: 200 : OK
